CSA2010,tpop10,male10,female10,paa10,pwhite10,pasi10,p2more10,ppac10,phisp10,racdiv10,age5_10,age18_10,age24_10,age64_10,age65_10,hhs10,femhhs10,fam10,hhsize10,mhhi12,hh25inc12,hh40inc12,hh60inc12,hh75inc12,hhm7512,hhpov12,hhchpov12
Allendale/Irvington/S. Hilton,16217,7246,8971,88.2%,8.3%,0.5%,1.3%,0.5%,1.3%,22.9,6.6%,18.4%,10.3%,51.9%,12.8%,6098,63.6%,35.9%,2.6,$33177.66,37.8%,19%,14.5%,10.5%,18.3%,19.8%,35.9%
Beechfield/Ten Hills/West Hills,12264,5566,6698,78.9%,16.8%,0.8%,1.5%,0.4%,1.6%,36.2,6.5%,16.7%,10.2%,56.2%,10.5%,5076,51.4%,33.6%,2.4,$50135.12,18.7%,19.2%,24%,10.6%,27.5%,8.3%,15.1%
Belair-Edison,17416,7891,9525,86.9%,9.9%,0.5%,1.1%,0.3%,1.2%,24.6,6.9%,20.2%,10.9%,54%,8%,6174,63.7%,40.6%,2.9,$46743.28,26.3%,17.8%,19.5%,14.7%,21.6%,12.5%,25.5%
Brooklyn/Curtis Bay/Hawkins Point,14243,6981,7262,35.9%,47.8%,1.7%,4.1%,0.7%,9.8%,66.7,10.2%,18.2%,11.1%,53.5%,7.1%,5204,51%,39.5%,2.6,$33526.36,35%,23.3%,18.1%,11.6%,12%,23.8%,37.6%
Canton,8100,4011,4089,4%,86%,3.4%,1.3%,0.4%,5%,28.3,4.1%,3%,10.5%,71.5%,10.9%,4310,19.8%,8.8%,1.9,$84978.14,9.8%,8.4%,15%,11.6%,55.1%,1.8%,13.2%
Cedonia/Frankford,23557,10788,12769,78.5%,15.1%,2.3%,1.8%,0.4%,2%,37.5,7.3%,17.2%,11.6%,55.3%,8.7%,9348,55.3%,34.5%,2.5,$39556.12,29.9%,20.2%,18%,12.6%,19.3%,17.3%,25.5%
Cherry Hill,8202,3343,4859,95.1%,1.6%,0.2%,1.1%,0.3%,1.6%,11.2,11.4%,24.3%,12.1%,43.8%,8.4%,3145,80.7%,45.4%,2.6,$22980.54,48.3%,20.5%,11.9%,10.1%,9.3%,40.8%,55.3%
Chinquapin Park/Belvedere,7756,3527,4229,69%,23.2%,1.7%,1.8%,0.6%,3.7%,49.5,7.2%,14.2%,11.1%,56.2%,11.5%,3359,51.5%,29.3%,2.3,$42852.96,27.8%,19.1%,17%,10.9%,25.2%,9.4%,13%
Claremont/Armistead,8231,3717,4514,53.1%,32.2%,0.5%,2%,0.9%,11.4%,66.7,8.3%,18.5%,10.4%,53.2%,9.5%,3419,57.1%,35.3%,2.4,$31970.51,42.2%,18.2%,16.9%,5.3%,17.4%,15.8%,31.4%
Clifton-Berea,9874,4473,5401,96.3%,1.1%,0.3%,1.1%,0.3%,1%,7.9,7.5%,18%,10.5%,48.5%,15.5%,3529,70%,34.7%,2.8,$24883.93,50%,18.5%,13.4%,10.4%,7.7%,25.6%,43.7%
Cross-Country/Cheswolde,13034,5956,7078,20.4%,72.1%,3.7%,1.2%,0.4%,2.2%,44.3,9.1%,18.4%,9.8%,43.5%,19.2%,5341,19.5%,27.6%,2.4,$55840.22,19.2%,13.7%,21.2%,9.8%,36.2%,11.7%,16.3%
Dickeyville/Franklintown,4101,1733,2368,87.8%,8.2%,0.5%,1%,0.6%,1.9%,23.4,8.3%,18.2%,11.7%,53.1%,8.7%,1877,66.8%,34.5%,2.2,$32487.00,40.3%,18%,22.2%,6.6%,12.8%,22.8%,30.3%
Dorchester/Ashburton,11786,5238,6548,96.1%,1.3%,0.3%,0.8%,0.4%,1%,8.5,6%,15.6%,9.6%,51.9%,16.9%,4565,58%,31.2%,2.6,$36715.14,35.8%,19.6%,15.6%,8.2%,20.8%,17.2%,23.5%
Downtown/Seton Hill,6446,3164,3282,37%,39.2%,15.9%,2.8%,0.6%,4.5%,68.8,3.4%,4.6%,20.6%,67.6%,3.8%,3676,59%,8.6%,1.6,$41365.85,42.3%,17.7%,16.3%,9.5%,14.3%,20.1%,58.6%
Edmondson Village,7900,3478,4422,96.7%,0.8%,0.1%,1.2%,0.4%,0.9%,7.4,6.4%,17.1%,11.2%,48.3%,17%,2875,67.7%,35.2%,2.7,$37537.56,31.5%,21%,20.4%,9.4%,17.8%,21.7%,45.1%
Fells Point,9039,4613,4426,7.8%,69.8%,4.6%,2%,0.7%,15.1%,55.6,4.7%,5%,11.3%,71.2%,7.7%,4717,25.7%,11.4%,2,$73083.92,20.1%,9.4%,10.9%,10.3%,49.3%,8.2%,30.9%
Forest Park/Walbrook,9849,4469,5380,94.9%,2.2%,0.1%,1.1%,0.4%,1.3%,10.8,6.2%,16%,10.7%,52.7%,14.3%,3943,62.5%,31%,2.5,$36737.15,37.4%,15.3%,21.1%,4%,22.2%,17.8%,38.3%
Glen-Fallstaff,14914,6783,8131,63%,27.7%,1.4%,1.4%,0.7%,5.7%,56.5,6.6%,15.4%,9.3%,50.8%,17.9%,6414,44.8%,27.1%,2.3,$37344.66,34.4%,17.9%,19.7%,6.7%,21.1%,19.1%,26%
Greater Charles Village/Barclay,16391,8528,7863,34.7%,43.8%,13.3%,2.8%,0.6%,4.8%,67.8,3.2%,5.1%,33.9%,50.6%,7.3%,7040,49.3%,11.1%,2,$28899.22,42.7%,14.5%,18.2%,5.6%,19%,17.6%,32%
Greater Govans,10681,4766,5915,90.9%,5.4%,0.5%,1.3%,0.6%,1.3%,18.6,7.1%,17.3%,10%,52.8%,12.8%,4073,60.3%,33.9%,2.6,$38396.20,38.2%,17.8%,16.8%,11.5%,15.8%,17.7%,25.7%
Greater Mondawmin,9322,4044,5278,96.2%,1.1%,0.2%,1.2%,0.4%,0.9%,8.2,5.5%,15.7%,15.5%,48%,15.3%,3466,66.6%,29.9%,2.5,$38912.26,29.2%,21.5%,17.9%,11.1%,20.3%,12.8%,32.6%
Greater Roland Park/Poplar Hill,7377,3532,3845,7.9%,77.5%,9.8%,1.9%,0.2%,2.6%,38.9,4.4%,14.5%,6.5%,56.2%,18.4%,3398,14.1%,23%,2,$107668.13,9%,7.7%,11.3%,8.5%,63.5%,1%,2.4%
Greater Rosemont,19259,8783,10476,96.6%,0.7%,0.2%,1.3%,0.3%,1%,7.6,7.3%,18.8%,11%,50%,12.9%,6893,68%,35.4%,2.8,$26892.76,47.6%,19.4%,15.5%,8%,9.5%,26.2%,50.2%
Greenmount East,8184,3737,4447,95.8%,1.6%,0.2%,1.1%,0.3%,0.9%,9.1,7.3%,18%,10.8%,51.6%,12.3%,3115,71.2%,34%,2.7,$21224.50,57.8%,18.4%,9.9%,6.8%,7.1%,29.4%,33.4%
Hamilton,13002,6012,6990,56.5%,37.1%,1.2%,2.3%,0.7%,2.3%,55.2,5.9%,17.5%,8.4%,57.4%,10.9%,5139,43.6%,32.8%,2.5,$59540.33,16.4%,17.4%,16.3%,10.4%,39.5%,6.4%,8.6%
Harbor East/Little Italy,5407,2628,2779,57.9%,28.5%,4.6%,1.6%,0.6%,6.8%,61.8,8.1%,15.8%,9.8%,59.6%,6.6%,2305,74.6%,28.7%,2.2,$30283.28,45.4%,14.5%,8.6%,5.8%,25.7%,42%,71.8%
