CSA2010,aastud10,aastud11,aastud12,abse10,abse11,abse12,abshs10,abshs11,abshs12,absmd10,absmd11,absmd12,affordm12,affordr12,age18_10,age24_10,age5_10,age64_10,age65_10,artbus11,artbus12,artemp11,artemp12,baltvac11,baltvac12,banks11,banks12,birthwt10,birthwt11,birthwt12,biz1_10,biz1_11,biz1_12,biz2_10,biz2_11,biz2_12,biz4_10,biz4_11,biz4_12,bkln12,caracc11,carpool12,cashsa11,cashsa12,caslt11,clogged10,clogged11,clogged12,cmos11,compl10,compl11,compl12,comprop10,comprop11,comprop12,constper11,constper12,crehab10,crehab11,crehab12,crime10,crime11,crime12,demper11,demper12,dirtyst10,dirtyst11,dirtyst12,dom10,dom11,dom12,domvio10,domvio11,drop10,drop11,drop12,drvalone12,eattend10,eattend11,eattend12,ebl10,ebl11,ebl12,eenrol11,eenrol12,elheat12,empl12,fam10,farms10,farms11,farms12,fastfd11,female10,femhhs10,file_ID,filename,fore10,fore11,fore12,gunhom11,gunhom12,heatgas12,hfai12,hh25inc12,hh40inc12,hh60inc12,hh75inc12,hhchpov12,hhm7512,hhpov12,hhs10,hhsize10,histax12,homtax11,homtax12,hsaalg10,hsaalg11,hsaalg12,hsabio10,hsabio11,hsabio12,hsaeng10,hsaeng11,hsaeng12,hsagov10,hsagov11,hsattend10,hsattend11,hsattend12,hsdipl12,hsenrol11,hsenrol12,hstud10,hstud11,hstud12,juvarr11,juvdrug11,juvviol11,leadtest10,leadtest11,leadtest12,lesshs12,libcard11,libcard12,lifeexp11,lifeexp12,liquor11,liquor12,male10,math310,math311,math312,math510,math511,math512,math810,math811,math812,mattend10,mattend11,mattend12,menrol11,menrol12,mhhi12,mort14_11,mort1_11,mort1_12,mort24_11,mort24_12,mort44_11,mort44_12,mort64_11,mort64_12,mort84_11,mort84_12,mort85_11,mort85_12,mort_14_12,narc11,neibus10,neibus11,neibus12,neiemp10,neiemp11,neiemp12,neiind10,neiind11,neiind12,nilf12,nomail10,nomail11,nomail12,novhcl12,numbus10,numbus11,numbus12,othrcom12,ownroc10,ownroc11,ownroc12,owntax11,owntax12,p2more10,paa10,pasi10,phisp10,ppac10,prenatal10,prenatal11,prenatal12,prop11,prop12,pubtran12,pwhite10,racdiv10,read310,read311,read312,read510,read511,read512,read810,read811,read812,ready11,ready12,regvote10,regvote12,reosa11,reosa12,resrehab10,resrehab11,resrehab12,salepr10,salepr11,salepr12,sclemp12,sclsw11,sclsw12,shomes10,shomes11,shomes12,shoot11,smlbus10,smlbus11,smlbus12,somecol12,sped10,sped11,sped12,susp10,susp11,susp12,tanf11,tanf12,teenbir10,teenbir11,teenbir12,termbir10,termbir11,termbir12,totalres10,totalres11,totalres12,totemp10,totemp11,totemp12,tpop10,trav14_12,trav29_12,trav44_12,trav45_12,trees07,unempl12,unempr12,vacant10,vacant11,vacant12,vio10,vio11,vio12,viol10,viol11,viol12,voted10,voted12,walked12,waterc11,weather10,weather11,weather12,wlksc11,wrkout10,wrkout11,wstud10,wstud11,wstud12
CSA2010,,,,,,,,,,,,,,,,,,,,"Number of Businesses that are Arts-Related per 1,000 residents (2011)","Number of Businesses that are Arts-Related per 1,000 residents (2012)",Total Employment in Arts-Related Businesses (2011),Total Employment in Arts-Related Businesses (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Number of Persons with Library Cards per 1,000 Residents (2011)","Number of Persons with Library Cards per 1,000 Residents (2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allendale/Irvington/S. Hilton,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.7,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beechfield/Ten Hills/West Hills,,,,,,,,,,,,,,,,,,,,0.1,0.2,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.2,152.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belair-Edison,,,,,,,,,,,,,,,,,,,,0.1,0.2,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.4,310.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn/Curtis Bay/Hawkins Point,,,,,,,,,,,,,,,,,,,,0.1,0.2,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.7,194.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.8,235.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedonia/Frankford,,,,,,,,,,,,,,,,,,,,0.2,0.3,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.3,212.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Hill,,,,,,,,,,,,,,,,,,,,0.1,0.1,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.6,299.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinquapin Park/Belvedere,,,,,,,,,,,,,,,,,,,,0.1,0.1,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.7,247.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont/Armistead,,,,,,,,,,,,,,,,,,,,0.4,0.4,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.7,161.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clifton-Berea,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,raw_data/csv/VS Arts 2011-2012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.5,263.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
