CSA2010,artbus11,artbus12,artemp11,artemp12,libcard11,libcard12,tpop10,male10,female10,paa10,pwhite10,pasi10,p2more10,ppac10,phisp10,racdiv10,age5_10,age18_10,age24_10,age64_10,age65_10,hhs10,femhhs10,fam10,hhsize10,mhhi12,hh25inc12,hh40inc12,hh60inc12,hh75inc12,hhm7512,hhpov12,hhchpov12,crime10,crime11,crime12,viol10,viol11,viol12,prop11,prop12,juvarr11,juvviol11,juvdrug11,domvio10,domvio11,shoot11,caslt11,narc11,caracc11,gunhom11,gunhom12,eattend10,eattend11,eattend12,mattend10,mattend11,mattend12,hsattend10,hsattend11,hsattend12,eenrol11,eenrol12,menrol11,menrol12,hsenrol11,hsenrol12,aastud10,aastud11,aastud12,wstud10,wstud11,wstud12,hstud10,hstud11,hstud12,abse10,abse11,abse12,absmd10,absmd11,absmd12,abshs10,abshs11,abshs12,susp10,susp11,susp12,farms10,farms11,farms12,sped10,sped11,sped12,ready11,ready12,math310,math311,math312,read310,read311,read312,math510,math511,math512,read510,read511,read512,math810,math811,math812,read810,read811,read812,hsaeng10,hsaeng11,hsaeng12,hsabio10,hsabio11,hsabio12,hsagov10,hsagov11,hsaalg10,hsaalg11,hsaalg12,drop10,drop11,drop12,compl10,compl11,compl12,sclsw11,sclsw12,sclemp12,teenbir10,teenbir11,teenbir12,termbir10,termbir11,termbir12,birthwt10,birthwt11,birthwt12,prenatal10,prenatal11,prenatal12,leadtest10,leadtest11,leadtest12,ebl10,ebl11,ebl12,tanf11,tanf12,liquor11,liquor12,fastfd11,hfai12,lifeexp11,lifeexp12,mort1_11,mort1_12,mort14_11,mort_14_12,mort24_11,mort24_12,mort44_11,mort44_12,mort64_11,mort64_12,mort84_11,mort84_12,mort85_11,mort85_12,shomes10,shomes11,shomes12,salepr10,salepr11,salepr12,dom10,dom11,dom12,reosa11,reosa12,cashsa11,cashsa12,fore10,fore11,fore12,ownroc10,ownroc11,ownroc12,nomail10,nomail11,nomail12,totalres10,totalres11,totalres12,affordm12,affordr12,homtax11,homtax12,owntax11,owntax12,histax12,resrehab10,resrehab11,resrehab12,constper11,constper12,vacant10,vacant11,vacant12,baltvac11,baltvac12,vio10,vio11,vio12,demper11,demper12,regvote10,regvote12,voted10,voted12,dirtyst10,dirtyst11,dirtyst12,clogged10,clogged11,clogged12,drvalone12,carpool12,pubtran12,walked12,trav14_12,trav29_12,trav44_12,trav45_12,trees07,cmos11,waterc11,heatgas12,elheat12,novhcl12,weather10,weather11,weather12,wlksc11,bkln12,othrcom12,empl12,unempl12,nilf12,unempr12,lesshs12,hsdipl12,somecol12,wrkout10,wrkout11,comprop10,comprop11,comprop12,crehab10,crehab11,crehab12,banks11,banks12,numbus10,numbus11,numbus12,totemp10,totemp11,totemp12,smlbus10,smlbus11,smlbus12,biz1_10,biz1_11,biz1_12,biz2_10,biz2_11,biz2_12,biz4_10,biz4_11,biz4_12,neiind10,neiind11,neiind12,neibus10,neibus11,neibus12,neiemp10,neiemp11,neiemp12
Allendale/Irvington/S. Hilton,0.0,0.0,0.0,0.0,194.7,206.0,16217.0,7246.0,8971.0,88.2,8.3,0.5,1.3,0.5,1.3,22.9,6.6,18.4,10.3,51.9,12.8,6098.0,63.6,35.9,2.6,33177.66,37.8,19.0,14.5,10.5,18.3,19.8,35.9,40.6,46.2,45.4,12.6,12.5,13.9,33.7,31.6,54.8,12.4,22.2,59.4,65.4,2.5,84.4,78.8,44.0,0.2,0.6,1118.0,1037.0,999.0,747.0,624.0,586.0,1064.0,930.0,862.0,965.0,973.0,582.0,568.0,852.0,833.0,94.9,93.9,93.0,2.9,3.5,3.9,0.8,1.5,2.1,14.7,20.6,15.6,28.8,20.0,14.7,41.2,38.3,39.0,9.5,10.4,10.0,86.1,86.1,79.3,16.9,16.7,17.3,68.4,70.6,67.2,73.5,69.8,59.6,60.9,59.6,67.0,55.9,65.0,76.1,69.2,81.0,23.7,27.9,38.0,45.1,54.4,62.4,38.0,34.1,32.3,41.0,31.2,32.2,53.0,46.0,19.9,20.6,17.9,3.8,4.9,2.7,80.3,83.9,78.1,6.8,9.6,71.0,55.0,58.1,45.9,85.3,86.0,84.3,87.4,83.8,83.8,51.9,55.3,57.0,386.0,166.0,187.0,0.0,0.0,0.0,10.2,12.5,0.7,0.9,0.6,7.8,70.0,70.4,14.8,16.9,3.2,1.9,18.2,19.0,41.9,39.8,134.3,129.4,453.8,430.3,1326.5,1381.4,118.0,80.0,76.0,42500.0,30000.0,47500.0,85.0,55.0,58.0,53.5,29.3,78.2,76.1,2.6,1.3,2.0,66.0,61.6,61.8,9.0,8.7,8.4,5568.0,5551.0,5554.0,49.8,53.2,599.9,550.8,69.0,62.3,0.0,1.3,1.6,1.4,0.0,0.9,4.3,4.7,5.1,3.0,2.8,5.0,5.3,3.3,0.4,0.2,83.4,82.8,45.3,57.0,41.7,41.0,48.1,4.2,4.6,6.2,61.7,12.1,19.9,4.5,12.7,40.0,25.7,21.6,32.7,6.0,16.0,68.1,18.9,31.0,0.5,0.4,0.4,44.0,2.4,1.7,57.7,13.6,29.1,19.2,24.5,64.5,11.0,60.3,59.0,279.0,278.0,284.0,13.3,8.6,13.7,0.0,0.0,269.0,237.0,253.0,2778.0,2502.0,2629.0,255.0,226.0,242.0,8.9,11.0,9.5,19.3,15.6,24.5,33.8,29.1,34.8,183.0,161.0,162.0,11.3,9.9,10.0,1503.0,1378.0,1370.0
Beechfield/Ten Hills/West Hills,0.1,0.2,4.0,7.0,153.2,152.5,12264.0,5566.0,6698.0,78.9,16.8,0.8,1.5,0.4,1.6,36.2,6.5,16.7,10.2,56.2,10.5,5076.0,51.4,33.6,2.4,50135.12,18.7,19.2,24.0,10.6,27.5,8.3,15.1,33.6,36.1,36.6,8.4,7.2,7.0,28.9,29.6,22.0,9.1,5.3,47.9,44.8,2.0,51.2,24.7,31.9,0.2,0.2,574.0,647.0,605.0,349.0,351.0,370.0,511.0,516.0,494.0,597.0,583.0,317.0,364.0,463.0,474.0,95.4,95.6,95.6,2.1,2.5,2.5,0.6,1.2,1.1,6.4,17.9,9.9,11.7,11.1,10.3,29.9,31.4,29.1,8.1,6.7,8.4,76.3,77.8,69.6,12.7,12.9,14.0,44.2,71.8,76.7,75.9,73.6,69.9,69.2,73.8,79.8,63.2,74.6,88.3,78.7,80.3,29.2,39.6,39.8,56.7,77.0,66.7,43.6,37.1,36.8,47.6,41.3,45.9,60.1,52.3,24.6,22.7,28.1,2.0,1.9,3.0,85.9,80.3,82.1,5.1,5.6,81.1,42.8,21.4,42.8,87.5,90.6,89.5,91.7,90.6,90.1,64.3,67.1,63.0,0.0,199.0,0.0,0.0,0.0,0.0,4.5,5.8,0.2,0.1,0.7,15.6,74.1,74.7,12.8,11.8,1.8,1.8,18.7,15.2,24.0,19.8,89.2,96.1,339.4,329.0,1539.7,1349.2,72.0,84.0,64.0,142250.0,120000.0,144501.0,102.0,74.0,69.0,38.5,9.0,32.1,25.4,2.1,1.0,1.4,82.7,79.5,81.0,2.3,2.6,2.8,3557.0,3575.0,3599.0,43.3,49.9,740.4,641.6,56.5,52.5,0.6,1.9,3.1,1.8,4.8,0.8,0.3,0.4,0.8,6.7,3.7,2.0,3.1,1.3,0.0,0.0,79.7,81.6,52.6,61.9,10.5,12.2,13.9,3.4,3.3,4.8,75.9,8.6,13.2,1.7,15.2,45.3,25.0,14.5,48.1,7.0,17.0,76.9,14.4,16.0,0.5,0.3,0.4,32.5,4.2,0.7,66.9,10.1,23.2,13.3,14.2,63.5,22.3,62.5,66.9,47.0,47.0,46.0,25.5,27.7,4.3,0.1,0.1,154.0,136.0,141.0,1462.0,1329.0,1383.0,148.0,130.0,134.0,3.9,8.1,4.3,22.1,12.5,12.1,32.5,30.1,29.8,98.0,87.0,88.0,8.0,7.1,7.2,753.0,663.0,684.0
Belair-Edison,0.1,0.2,24.0,26.0,319.4,310.2,17416.0,7891.0,9525.0,86.9,9.9,0.5,1.1,0.3,1.2,24.6,6.9,20.2,10.9,54.0,8.0,6174.0,63.7,40.6,2.9,46743.28,26.3,17.8,19.5,14.7,21.6,12.5,25.5,50.3,57.1,52.7,13.3,14.1,14.9,43.0,37.7,54.8,17.5,16.2,51.1,57.8,1.5,77.6,50.2,45.4,0.3,0.3,1162.0,1241.0,1174.0,831.0,773.0,746.0,1219.0,1178.0,1126.0,1160.0,1141.0,741.0,723.0,1084.0,1091.0,96.9,97.0,96.7,1.3,1.5,1.4,0.3,0.7,1.2,14.0,18.9,16.8,12.4,13.1,14.9,41.1,44.0,41.5,9.9,8.6,8.7,85.5,84.4,78.8,16.0,16.7,17.4,69.0,57.6,76.9,68.1,70.4,69.8,67.7,62.2,74.8,60.3,70.1,79.0,69.8,76.4,30.6,44.8,38.0,57.3,65.6,57.5,32.5,33.4,32.2,36.9,33.7,32.7,39.0,40.7,23.0,18.7,18.6,4.0,4.2,3.8,82.9,79.9,77.4,7.2,7.6,78.5,67.6,56.8,58.1,84.0,82.5,82.0,87.7,84.5,83.8,63.9,63.3,63.2,200.0,256.0,356.0,7.5,2.0,1.4,10.1,11.1,0.8,0.7,1.0,10.3,71.5,72.5,21.3,15.0,2.2,2.2,26.4,23.6,30.1,26.2,100.6,105.6,345.3,335.7,1984.3,1842.5,153.0,127.0,132.0,56000.0,44000.0,60000.0,94.0,66.0,46.0,41.1,23.2,66.7,67.4,3.2,1.7,2.3,67.2,64.8,64.5,6.2,6.7,8.7,6295.0,6296.0,6292.0,44.5,63.9,613.7,582.8,57.5,52.6,0.0,1.4,1.9,1.8,0.0,0.3,1.5,1.7,2.0,0.9,0.0,2.2,3.2,2.6,0.0,0.3,81.7,83.2,46.6,59.8,90.2,66.3,79.1,4.1,6.1,3.8,66.9,12.2,16.3,2.7,10.1,38.3,32.0,19.6,20.1,6.0,17.0,71.8,11.2,27.2,0.6,0.3,0.6,62.3,0.2,1.8,62.3,12.0,25.8,16.3,18.8,67.2,14.0,48.5,49.4,165.0,165.0,165.0,8.5,10.9,8.5,0.2,0.1,225.0,224.0,251.0,1590.0,1540.0,1605.0,217.0,217.0,244.0,8.9,12.1,7.6,22.7,18.8,23.5,31.6,31.3,38.6,172.0,172.0,189.0,9.9,9.9,10.9,1044.0,915.0,1008.0
Brooklyn/Curtis Bay/Hawkins Point,0.1,0.2,9.0,12.0,229.7,194.2,14243.0,6981.0,7262.0,35.9,47.8,1.7,4.1,0.7,9.8,66.7,10.2,18.2,11.1,53.5,7.1,5204.0,51.0,39.5,2.6,33526.36,35.0,23.3,18.1,11.6,12.0,23.8,37.6,81.7,79.1,62.1,25.3,21.3,15.2,57.8,46.9,83.3,16.8,30.8,68.0,74.1,2.9,158.5,101.1,39.9,0.3,0.2,1011.0,1093.0,997.0,525.0,481.0,479.0,615.0,537.0,552.0,966.0,933.0,420.0,446.0,474.0,534.0,58.9,58.3,58.2,31.1,31.6,30.2,6.6,8.3,9.5,19.6,19.8,20.1,21.3,24.5,24.0,36.3,46.9,48.2,8.0,6.7,7.6,85.8,88.5,78.5,20.3,18.5,18.6,42.9,84.2,82.4,75.9,78.0,74.5,69.2,63.2,70.8,60.9,63.1,81.2,74.0,72.5,32.5,26.5,38.1,56.3,68.1,62.8,39.2,36.8,30.9,45.4,37.7,46.2,55.6,48.4,30.5,25.5,21.3,5.2,3.5,4.8,78.5,75.4,70.5,6.2,8.0,91.9,111.1,94.6,63.8,83.1,82.3,85.0,89.9,86.7,91.4,50.9,47.2,49.6,0.0,360.0,374.0,0.0,0.0,0.0,13.8,14.8,1.5,1.4,0.8,8.6,69.7,69.5,7.7,7.9,3.1,4.4,17.2,13.4,36.5,34.7,145.8,155.4,466.6,468.9,1776.0,1568.0,104.0,86.0,84.0,58005.0,42950.0,47050.0,108.0,67.5,59.0,42.6,23.7,73.4,72.0,2.8,1.3,1.8,50.4,46.2,46.9,8.9,8.8,9.9,4283.0,4259.0,4256.0,38.8,51.4,382.0,364.4,51.0,47.2,0.0,1.3,1.0,1.2,0.5,0.5,3.7,4.2,5.0,2.7,3.8,3.7,4.3,3.1,0.9,3.8,53.6,53.3,30.1,28.3,91.5,112.1,82.8,4.2,5.8,5.5,51.9,20.0,20.7,3.5,22.6,28.8,28.0,20.5,15.1,7.0,17.0,70.1,23.0,33.8,1.4,9.1,0.9,17.7,3.2,3.9,56.6,14.5,29.3,20.5,34.2,59.5,6.4,72.7,75.8,880.0,838.0,856.0,5.2,7.4,13.7,0.1,0.1,329.0,414.0,317.0,6127.0,6696.0,4945.0,297.0,386.0,291.0,2.7,7.5,6.9,10.9,15.0,14.8,21.9,30.7,23.0,161.0,208.0,153.0,11.3,14.6,10.7,1227.0,1463.0,1114.0
Canton,0.0,0.0,0.0,0.0,267.8,235.3,8100.0,4011.0,4089.0,4.0,86.0,3.4,1.3,0.4,5.0,28.3,4.1,3.0,10.5,71.5,10.9,4310.0,19.8,8.8,1.9,84978.14,9.8,8.4,15.0,11.6,55.1,1.8,13.2,61.0,64.8,57.9,8.3,7.7,6.7,57.2,51.2,81.5,14.8,7.4,34.3,39.6,0.0,46.2,4.0,32.8,0.0,0.0,90.0,76.0,89.0,32.0,37.0,38.0,49.0,37.0,30.0,69.0,82.0,32.0,36.0,30.0,26.0,19.6,17.2,19.1,59.8,54.6,51.3,17.5,19.0,21.1,7.8,6.6,6.7,21.9,13.5,13.2,22.4,29.7,20.0,8.5,7.5,3.5,73.5,71.0,61.8,17.5,14.9,11.6,84.2,45.5,100.0,75.0,88.9,90.0,83.3,77.8,81.8,50.0,76.9,100.0,71.4,92.3,77.8,66.7,45.5,88.9,75.0,72.7,42.9,30.8,55.6,50.0,25.0,78.6,18.2,63.6,39.3,42.9,37.5,4.1,8.1,0.0,75.0,66.7,100.0,2.7,1.9,92.1,46.5,23.3,0.0,94.6,93.7,90.6,94.6,97.6,92.9,73.9,79.4,79.5,96.0,124.0,130.0,0.0,0.0,0.0,1.4,0.9,4.6,4.9,1.1,16.9,77.0,77.4,5.7,1.8,0.0,0.0,6.6,8.8,2.8,3.3,78.8,74.8,373.3,384.2,1539.5,1407.9,230.0,199.0,288.0,251000.0,231000.0,261200.0,82.0,58.0,27.0,14.0,3.9,26.6,20.1,1.8,0.5,0.6,69.9,67.9,68.7,7.7,7.4,6.4,4013.0,4017.0,4025.0,38.2,35.0,448.3,355.8,46.6,43.0,28.1,4.0,5.3,6.6,0.3,1.0,0.9,0.7,0.8,0.0,0.0,0.6,0.4,0.5,0.0,0.5,79.5,71.5,43.2,52.0,32.8,38.5,38.3,6.3,8.9,5.9,80.6,3.8,6.2,5.8,18.5,44.8,23.5,13.2,9.6,3.0,12.0,65.8,29.7,11.0,0.0,0.0,0.1,89.2,2.8,3.6,84.6,3.6,12.0,4.0,8.6,30.2,61.2,53.7,50.5,205.0,210.0,208.0,14.1,13.3,13.5,0.5,0.2,314.0,322.0,364.0,2653.0,2516.0,2921.0,307.0,316.0,352.0,7.6,10.9,11.5,17.8,17.7,26.1,33.4,34.2,39.0,214.0,230.0,248.0,26.4,28.4,30.6,2029.0,1887.0,2211.0
Cedonia/Frankford,0.2,0.3,12.0,15.0,216.3,212.3,23557.0,10788.0,12769.0,78.5,15.1,2.3,1.8,0.4,2.0,37.5,7.3,17.2,11.6,55.3,8.7,9348.0,55.3,34.5,2.5,39556.12,29.9,20.2,18.0,12.6,19.3,17.3,25.5,43.7,48.4,46.7,12.0,11.3,12.1,37.1,34.6,46.5,9.5,10.7,60.2,70.2,0.8,10.7,22.8,26.5,0.3,0.3,1284.0,1451.0,1425.0,729.0,844.0,758.0,1477.0,1315.0,1251.0,1309.0,1337.0,767.0,734.0,1178.0,1182.0,91.3,88.5,86.3,3.5,4.2,4.1,0.9,1.2,1.8,10.5,13.8,10.0,9.1,12.1,13.5,35.5,36.3,32.0,9.1,6.7,6.8,80.5,80.9,73.1,16.9,15.7,16.0,75.4,74.6,65.7,72.1,71.5,55.8,66.0,62.9,67.9,58.6,72.2,72.9,74.9,67.7,31.9,41.3,36.1,52.2,59.5,53.6,31.0,30.2,31.4,39.4,34.1,32.7,44.2,41.1,22.7,21.1,18.7,2.6,3.0,3.8,82.1,82.3,83.9,5.2,6.5,90.2,48.9,42.1,38.7,83.8,86.3,84.8,84.4,85.7,86.5,56.6,61.6,63.8,240.0,199.0,320.0,0.0,0.0,0.0,8.5,10.5,0.6,0.8,0.8,12.3,72.8,72.8,13.7,15.2,2.3,2.3,12.3,12.8,27.8,28.7,95.7,95.4,434.6,434.6,1560.0,1480.0,195.0,171.0,141.0,103225.0,88000.0,94500.0,98.5,71.0,48.0,42.6,16.9,45.4,42.2,2.9,1.3,2.4,79.2,76.5,76.1,4.8,5.2,6.2,6294.0,6290.0,6286.0,53.8,59.5,720.5,683.4,69.3,68.7,0.0,1.9,1.6,2.1,0.5,1.1,0.7,0.6,1.1,2.6,1.4,1.6,2.6,1.0,0.2,0.0,73.9,78.5,46.6,56.2,22.5,24.2,24.3,2.5,5.6,3.1,68.5,12.1,17.2,1.7,10.1,40.0,27.4,22.6,28.8,6.0,18.0,73.4,18.1,25.2,0.4,0.3,0.6,57.4,2.2,0.5,65.3,9.6,25.0,12.9,20.0,68.1,11.9,53.1,50.0,231.0,231.0,231.0,7.8,9.5,6.9,0.3,0.1,426.0,379.0,407.0,3281.0,2935.0,2963.0,414.0,368.0,397.0,9.4,10.6,9.8,22.3,17.7,21.1,36.2,33.5,35.6,316.0,280.0,297.0,13.4,11.9,12.6,2255.0,1998.0,2073.0
Cherry Hill,0.1,0.1,50.0,4.0,323.6,299.3,8202.0,3343.0,4859.0,95.1,1.6,0.2,1.1,0.3,1.6,11.2,11.4,24.3,12.1,43.8,8.4,3145.0,80.7,45.4,2.6,22980.54,48.3,20.5,11.9,10.1,9.3,40.8,55.3,60.0,64.7,59.1,22.6,22.2,19.6,42.6,39.5,61.6,13.8,29.4,62.9,71.1,6.0,110.2,97.4,25.2,0.5,0.4,833.0,818.0,845.0,412.0,391.0,420.0,584.0,547.0,514.0,778.0,817.0,370.0,412.0,507.0,493.0,97.6,97.9,96.9,0.5,0.8,1.0,0.0,0.7,1.6,14.3,21.5,18.9,17.0,19.2,19.5,44.2,50.6,46.7,10.5,7.2,10.5,91.3,92.3,88.5,19.6,17.7,17.9,68.3,82.1,69.6,57.9,64.7,68.5,54.1,56.7,64.3,52.3,64.1,67.5,55.7,67.3,34.0,32.7,29.7,54.9,57.0,45.9,29.7,29.6,27.2,32.0,27.2,36.4,43.6,40.7,23.2,25.0,21.9,3.9,4.9,3.2,76.4,85.3,84.4,8.9,9.6,86.2,57.6,60.5,63.4,80.9,79.6,83.1,88.8,79.0,89.8,57.2,52.5,57.2,198.0,322.0,382.0,0.0,0.0,0.0,21.9,23.5,0.1,0.1,0.7,8.8,68.7,68.8,15.2,14.8,3.4,3.4,21.9,21.9,47.2,47.2,140.2,142.7,473.4,442.5,1423.1,1461.5,9.0,8.0,6.0,69000.0,61050.0,16000.0,141.0,92.0,28.0,15.4,6.7,61.5,86.7,2.0,1.0,0.6,54.7,53.0,53.0,3.1,3.3,4.4,988.0,985.0,985.0,24.2,43.4,510.7,500.5,67.0,66.0,0.0,0.4,0.5,0.2,0.0,0.0,3.4,3.7,4.0,5.4,5.1,2.9,5.2,2.4,0.0,0.0,82.5,82.3,34.9,53.1,11.7,12.7,7.2,1.2,3.7,2.9,42.8,17.9,37.3,2.0,17.1,37.0,20.2,25.7,19.0,0.0,17.0,63.8,30.1,51.0,15.7,74.4,8.1,38.1,2.8,0.0,51.3,14.7,34.3,22.3,23.3,69.6,7.1,57.1,53.2,91.0,93.0,93.0,29.7,38.7,23.7,0.0,0.0,88.0,138.0,100.0,872.0,1198.0,1190.0,84.0,132.0,95.0,3.4,9.4,5.0,5.7,18.8,16.0,14.8,26.8,21.0,47.0,85.0,56.0,5.7,10.4,6.8,353.0,625.0,641.0
Chinquapin Park/Belvedere,0.1,0.1,10.0,10.0,236.7,247.9,7756.0,3527.0,4229.0,69.0,23.2,1.7,1.8,0.6,3.7,49.5,7.2,14.2,11.1,56.2,11.5,3359.0,51.5,29.3,2.3,42852.96,27.8,19.1,17.0,10.9,25.2,9.4,13.0,43.6,33.4,44.5,12.6,7.1,9.0,26.3,35.5,37.9,10.2,7.3,39.7,44.2,0.3,60.1,17.9,38.9,0.0,0.4,381.0,391.0,388.0,228.0,216.0,207.0,351.0,338.0,306.0,368.0,369.0,203.0,199.0,301.0,291.0,93.3,91.7,90.4,3.6,4.7,4.8,0.4,2.0,2.7,10.5,12.3,10.6,9.2,10.6,6.3,34.5,29.6,31.7,6.5,7.2,8.0,79.6,75.7,68.1,15.4,16.7,16.6,68.1,73.1,86.6,87.0,89.4,82.1,83.1,80.6,73.8,75.0,79.5,87.7,83.8,83.3,30.3,37.3,41.5,42.4,51.7,59.7,44.7,38.1,31.3,44.0,32.7,35.8,47.1,56.2,22.7,23.6,14.8,4.3,2.4,2.6,76.4,84.1,82.4,5.6,7.3,82.3,50.6,84.4,63.3,87.0,89.3,89.4,92.6,87.7,90.2,63.9,58.2,49.2,146.0,233.0,138.0,0.0,0.0,0.0,5.6,7.3,1.3,0.8,0.4,15.3,75.4,74.9,11.1,11.3,1.6,1.6,9.0,12.5,18.3,18.3,97.9,107.1,316.3,311.3,1576.5,1694.1,74.0,59.0,63.0,117450.0,130000.0,124000.0,103.0,78.0,54.0,24.2,11.5,40.3,31.1,2.0,0.9,1.6,74.0,70.3,71.6,6.0,5.3,4.3,2694.0,2688.0,2689.0,36.7,59.4,674.9,636.7,61.0,58.0,0.0,2.3,1.8,1.3,0.0,0.0,0.3,0.6,0.7,0.0,5.6,2.3,3.8,2.9,0.4,0.0,83.2,85.9,51.2,61.9,26.3,32.1,47.3,5.0,4.3,6.1,71.6,8.5,10.6,6.6,21.7,36.2,23.7,18.4,39.4,3.0,15.0,70.2,21.7,21.8,0.4,0.3,0.6,74.6,0.8,2.8,69.5,9.3,21.4,11.9,13.2,52.9,33.9,55.1,48.4,57.0,57.0,56.0,10.5,17.5,21.4,0.3,0.4,140.0,128.0,145.0,1170.0,1153.0,1211.0,136.0,124.0,140.0,5.7,7.0,9.7,21.4,10.9,20.0,32.1,28.9,35.2,106.0,99.0,107.0,13.7,12.8,13.8,880.0,868.0,891.0
Claremont/Armistead,0.4,0.4,22.0,22.0,182.7,161.9,8231.0,3717.0,4514.0,53.1,32.2,0.5,2.0,0.9,11.4,66.7,8.3,18.5,10.4,53.2,9.5,3419.0,57.1,35.3,2.4,31970.51,42.2,18.2,16.9,5.3,17.4,15.8,31.4,52.6,63.2,49.0,13.2,12.6,8.9,50.5,40.1,18.7,7.7,3.3,60.4,68.8,0.9,10.9,19.9,60.1,0.1,0.1,538.0,605.0,575.0,267.0,259.0,274.0,343.0,356.0,338.0,548.0,557.0,234.0,257.0,309.0,323.0,58.7,57.4,56.2,23.8,20.9,19.2,14.4,18.6,21.6,14.1,12.7,9.9,15.4,13.9,12.4,41.4,44.7,42.0,4.8,4.8,3.8,81.9,86.6,81.0,15.6,13.6,13.8,77.6,86.8,82.9,86.5,83.5,57.3,77.7,68.7,70.1,72.6,75.0,83.6,77.9,77.4,32.6,43.2,48.7,56.2,60.8,67.6,27.3,35.9,32.5,51.9,46.0,38.7,48.2,43.1,28.6,21.6,22.2,3.2,1.4,6.1,80.3,81.5,78.4,4.9,6.4,84.4,48.9,48.9,45.1,83.0,89.2,89.5,83.0,90.0,91.1,47.2,50.8,63.7,240.0,222.0,244.0,0.0,0.0,0.0,7.9,7.7,1.1,0.9,0.9,7.4,73.1,72.7,0.0,3.1,1.1,0.0,11.7,10.1,19.4,19.4,127.1,132.1,500.0,522.9,1195.1,1268.3,16.0,18.0,6.0,139000.0,135000.0,79200.0,135.0,43.0,49.0,31.6,20.0,52.6,40.0,4.7,0.8,2.0,76.6,70.9,75.2,3.6,3.9,4.6,725.0,755.0,745.0,46.0,49.7,543.1,567.8,46.4,44.3,0.0,1.5,2.7,4.6,6.6,49.7,0.0,0.3,0.3,0.0,0.0,3.3,2.8,3.6,0.0,0.0,60.7,60.9,37.8,39.0,8.1,12.6,17.1,1.6,2.9,3.0,64.5,14.1,18.4,2.4,13.5,25.6,35.8,25.1,28.0,1.0,25.0,82.1,16.1,26.1,1.0,0.5,0.7,31.0,1.3,0.6,61.5,9.2,29.7,13.1,25.9,65.4,8.7,56.7,61.6,183.0,182.0,186.0,10.4,7.7,9.1,0.0,0.0,177.0,185.0,190.0,2681.0,3024.0,2749.0,162.0,168.0,176.0,7.3,7.0,7.9,14.7,14.1,16.8,27.7,26.5,28.4,76.0,77.0,86.0,9.2,9.4,10.4,1124.0,1243.0,1137.0
Clifton-Berea,0.0,0.0,0.0,0.0,279.5,263.3,9874.0,4473.0,5401.0,96.3,1.1,0.3,1.1,0.3,1.0,7.9,7.5,18.0,10.5,48.5,15.5,3529.0,70.0,34.7,2.8,24883.93,50.0,18.5,13.4,10.4,7.7,25.6,43.7,57.9,61.0,56.4,23.3,23.5,20.0,37.5,36.5,144.9,33.2,63.7,49.7,63.5,7.3,121.0,201.9,47.0,0.6,0.8,879.0,787.0,754.0,523.0,439.0,426.0,784.0,678.0,588.0,734.0,734.0,410.0,420.0,605.0,577.0,98.2,98.6,98.4,0.3,0.6,0.7,0.4,0.5,0.5,15.4,23.0,16.6,18.0,21.0,21.6,42.2,48.5,51.0,10.4,11.3,10.2,89.9,91.9,82.9,16.8,16.3,15.9,69.4,78.1,62.5,77.7,57.5,62.5,67.6,48.9,64.6,53.9,50.7,70.8,61.7,52.1,25.2,33.6,26.9,42.8,53.9,43.9,24.5,26.1,23.0,33.5,25.8,29.5,40.2,34.3,23.1,20.0,20.3,4.6,5.5,6.0,77.7,80.8,81.3,8.9,9.9,82.5,72.0,61.7,77.1,82.8,85.6,85.7,83.6,88.1,90.3,52.2,56.9,64.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,25.3,1.9,1.7,0.9,8.8,65.1,66.4,21.5,17.6,3.1,3.1,41.3,31.9,66.8,59.5,195.0,185.6,415.4,416.9,1449.3,1468.6,87.0,76.0,40.0,13250.0,16050.0,21250.0,71.0,44.5,36.0,53.1,14.6,90.6,85.4,1.7,0.5,0.9,35.8,34.4,34.0,9.5,8.8,9.6,4783.0,4756.0,4738.0,40.6,55.7,162.7,135.5,30.7,27.0,0.2,1.7,1.2,1.5,0.0,0.0,24.5,23.7,24.1,17.4,15.7,11.3,12.7,11.8,4.8,4.0,91.5,89.5,40.3,57.5,167.2,171.9,167.7,10.9,9.9,9.9,46.1,12.7,38.5,1.8,11.8,32.7,28.9,26.6,8.3,25.0,14.0,65.6,16.8,49.3,0.4,0.4,0.3,58.3,0.5,1.0,46.5,12.1,42.1,21.0,27.6,64.0,8.4,49.1,45.8,149.0,149.0,150.0,6.7,4.7,19.3,0.0,0.0,182.0,169.0,164.0,2009.0,1487.0,1448.0,173.0,161.0,156.0,4.9,7.7,5.5,15.9,11.2,13.4,34.1,29.0,26.2,132.0,126.0,120.0,13.4,12.8,12.2,709.0,732.0,721.0
